scheme_id,scheme_name,scheme_type,description,official_link
49,Paytm Skill Development Program,Private,Digital skills and employment support,https://paytm.com
50,PhonePe Financial Literacy Program,Private,Financial awareness education,https://www.phonepe.com
51,Jio Digital Literacy Program,Private,Digital inclusion initiative,https://www.jio.com
52,Byjus Scholarship Program,Private,Merit based scholarships,https://byjus.com
53,Unacademy Scholarship Scheme,Private,Free learning support,https://unacademy.com
54,TCS Ignite Program,Private,Training for engineering graduates,https://www.tcs.com
55,Zoho Schools Program,Private,Software career education,https://www.zohoschools.com
56,Infosys Springboard,Private,Free digital learning platform,https://infyspringboard.com
57,Google Digital Garage India,Private,Digital marketing skills training,https://learndigital.withgoogle.com
58,Meta Blueprint India,Private,Online business skills training,https://www.facebook.com/business/learn
59,NASSCOM FutureSkills Prime,Private,Industry relevant digital skills,https://futureskillsprime.in
60,Udemy India Scholarship,Private,Free professional courses,https://www.udemy.com

61,Coursera Financial Aid India,Private,Online course fee support,https://www.coursera.org
62,edX Learning Support India,Private,University level online education,https://www.edx.org
63,NSDC Private Skill Partnership,Private,Skill development programs,https://nsdcindia.org
64,ITC CSR Rural Development,Private,Rural livelihood improvement,https://www.itcportal.com
65,Mahindra Pride Classroom,Private,Employability training,https://www.mahindra.com
66,Aditya Birla Education Trust,Private,Education support initiatives,https://www.adityabirla.com
67,Godrej Skill Development Program,Private,Skill training for employment,https://www.godrej.com
68,TVS CSR Education Scheme,Private,Education and training support,https://www.tvsmotor.com
69,ONGC CSR Health Program,Private,Healthcare assistance,https://ongcindia.com
70,IOCL CSR Skill Program,Private,Skill development support,https://iocl.com
71,NTPC CSR Education Scheme,Private,Education infrastructure support,https://ntpc.co.in
72,PowerGrid CSR Health Scheme,Private,Health and sanitation projects,https://www.powergridindia.com
73,Adani Foundation Education Program,Private,Education and livelihood support,https://www.adanifoundation.org
74,JSW Foundation Skill Program,Private,Skill and education initiatives,https://www.jswfoundation.in
75,Azim Premji Foundation Education Program,Private,School education improvement,https://azimpremjifoundation.org
76,Smile Foundation Education Scheme,Private,Education for underprivileged children,https://www.smilefoundationindia.org
77,HelpAge India Elder Support Program,Private,Support for senior citizens,https://www.helpageindia.org
78,Teach For India Fellowship,Private,Educational leadership program,https://www.teachforindia.org
79,CRY Child Education Support,Private,Child rights and education,https://www.cry.org
80,Pratham Education Foundation Program,Private,Primary education improvement,https://www.pratham.org
81,Akshaya Patra Foundation Program,Private,Mid day meals for students,https://www.akshayapatra.org
82,Goonj Rural Development Program,Private,Clothing and rural development,https://goonj.org
83,SEWA Women Empowerment Program,Private,Self employment for women,https://www.sewa.org
84,Barefoot College Program,Private,Skill training for rural women,https://www.barefootcollege.org
85,Digital Empowerment Foundation Program,Private,Digital inclusion initiatives,https://www.defindia.org
86,GiveIndia Education Support,Private,Crowdfunded education support,https://www.giveindia.org
87,Ketto Social Impact Program,Private,Crowdfunded welfare support,https://www.ketto.org
88,Milaap Social Welfare Program,Private,Medical and education crowdfunding,https://www.milaap.org
89,Impact Guru Health Support,Private,Medical crowdfunding assistance,https://www.impactguru.com
90,Save the Children India Program,Private,Child welfare and education,https://www.savethechildren.in
91,CARE India Livelihood Program,Private,Livelihood and women empowerment,https://www.careindia.org
92,Oxfam India Development Program,Private,Poverty and inequality reduction,https://www.oxfamindia.org
93,World Vision India Program,Private,Child development and education,https://www.worldvision.in
94,Rotary India Education Program,Private,Education and health initiatives,https://rotaryindia.org
95,Lions Clubs India Welfare Program,Private,Community welfare activities,https://www.lionsclubs.org
96,Indian Red Cross Society Program,Private,Disaster and health support,https://www.indianredcross.org
97,UNICEF India Education Program,Private,Child education and health,https://www.unicef.org/india
98,WHO India Health Support,Private,Public health awareness,https://www.who.int
99,UNDP India Livelihood Program,Private,Sustainable development initiatives,https://www.undp.org
100,UNESCO India Education Program,Private,Education and cultural development,https://www.unesco.org
